Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.58931,0.58483,0.41961,0.56504,0.59534,0.50315,0.61607,0.60285,..,..,..
Albania,ALB,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.48804,..,0.5897,0.72702,0.62656,..,..,..
Algeria,DZA,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.12879,0.93036,..,1.05633,1.07078,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.14094,..,0.1575,0.17743,0.3492,0.37074,..,..,..,..,..,0.72194,0.47027,0.56416,0.5264,0.52576,0.5377,0.52206,..
Angola,AGO,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.49548,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.59832,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.78686,0.96725,0.98348,1.06047,0.62133,0.78944,0.78828,0.97472,1.00278,1.06412,1.16627,1.36531,1.21182,1.29992,1.302,1.35121,1.31742,1.40704,1.33953,1.27254,..,..,..
Armenia,ARM,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7156,0.67211,0.52282,0.71575,0.77381,0.71175,..,..,..
Aruba,ABW,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75609,..,..,0.64622,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.11174,..,..,..,..,1.09124,..,..,..,..,1.11634,1.07486,1.04113,1.07631,1.17719,1.24373,1.10952,1.02322,1.05308,1.01361,1.01683,1.0364,1.02392,..,..,..
Austria,AUT,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.38957,1.47376,1.42929,1.33622,1.33822,1.34164,1.25251,1.25216,1.24128,1.20258,1.23094,1.31196,1.26825,1.23656,1.20372,1.23014,1.19587,1.19109,1.19746,1.17186,..,..,..
Azerbaijan,AZE,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.49185,0.48756,0.55652,..,..,..,..,..
Bangladesh,BGD,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.37352,0.36352,..,..,..,0.36911,..,..,0.36089,..
Barbados,BRB,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.81542,..,1.12813,1.15502,1.31567,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.89518,0.8903,0.87034,0.86725,0.86922,..,..,..
Belize,BLZ,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.33117,1.25171,..,..,..,1.56705,1.47874,1.53242,..,1.60961,1.71111,1.93397,..,1.68809,2.04514,1.878,1.90745,2.0263,2.00828,2.02497,..,..
Benin,BEN,Government expenditure on lower secondary education as a percentage of GDP (%),UIS.XGDP.2.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.64334,..,0.5725,0.64674,..,..,..,..,..,..,..
