Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33948,0.3369,0.24172,0.3255,0.34295,0.28985,0.30715,0.30039,..,..,..
Albania,ALB,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21386,..,0.15227,0.27813,0.15221,..,..,..
Algeria,DZA,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.92419,0.74463,..,0.81965,0.84176,..,..,0.61273,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.12725,..,0.13221,0.16174,0.1333,0.148,..,..,..,..,..,0.16142,0.16013,0.25309,0.24954,0.27093,0.28394,0.2775,..
Angola,AGO,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6752,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.42838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.55488,0.70156,0.65184,0.70991,0.95514,0.52772,0.52959,0.6344,0.64938,0.68726,0.73243,0.88987,0.77849,0.8413,0.85976,0.90647,0.90636,0.98038,0.93057,0.8872,..,..,..
Armenia,ARM,Government expenditure on upper secondary education as a percentage of GDP (%),UIS.XGDP.3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.68869,0.62332,0.70107,..,0.63488,0.55738,..,..,..
