Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.34618,2.01881,..,2.19117,2.99155,3.7414,4.02363,4.86053,..,..
Albania,ALB,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.57132,3.05105,..,3.87805,4.0296,4.44627,4.65653,4.81818,4.98177,5.19261,5.41028,5.73093,6.45357,6.52443,6.98722,..
Algeria,DZA,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0.12709,0.14095,0.09731,0.07046,0.2538,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.09411,3.3579,4.19524,3.48169,2.97278,2.37924,2.44428,2.41354,2.00846,2,2.28024,2.33842,1.88057,2.81271,2.81451,2.93823,3.38358,3.34881,..
Angola,AGO,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,11.08277,10.28375,10.55902,11.21198,..,..,..,..,19.45327,..,..,..,..
Antigua and Barbuda,ATG,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.14964,..,..,..,..,..,..,..,..,..,17.5962,18.82251,15.79529,..,16.60564,17.0369,..,17.03531,16.74562,..,..
Arab World,ARB,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.07897,22.08625,22.31389,22.13927,21.84232,22.06982,22.49696,23.00739,23.04491,22.99423,22.99295,23.13998,22.63689,23.18625,23.90759,24.05441,24.03118,24.40206,24.28307,24.64224,..,..,..
Armenia,ARM,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0.36365,0.33626,0.50434,0.58362,1.19539,1.45564,1.08174,1.22209,..,..,..,..,..,..,1.73287,1.85852,1.99356,2.12253,..
Aruba,ABW,Percentage of enrolment in lower secondary education in private institutions (%),UIS.PRP.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.64309,91.27475,90.60361,91.05058,89.87784,91.47919,91.20654,90.77882,91.04822,90.63867,90.75704,90.35633,..,..,..,..,..,..,..,..
