Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,0,0,0,0,0,0,..,..,..,..,0,0,0,..,0,0,0,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.67143,2.48133,..,2.47765,3.26524,4.12325,4.79927,5.95128,..,..
Albania,ALB,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,..,0,0,0,0,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,2.16422,..,..,..,4.27776,4.83809,5.41678,5.90312,4.87713,5.19261,5.39414,5.48745,5.5491,5.77866,5.93138,6.53639,7.39093,7.7408,8.3074,..
Algeria,DZA,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,..,1.89383,1.69059,1.37061,0.86625,0.81862,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0.19504,0.263,0.1662,0.13676,0.5159,0.64396,..,0.92548,0.98476,0.89434,1.2059,1.27619,..,..
American Samoa,ASM,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,13.58025,15.46464,15.53453,14.48436,18.52274,..,..,..,..,..,..,17.49703,18.39299,19.20576,21.37255,17.58827,17.67793,17.47078,17.104,16.35176,..,17.05987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,..,..,..,..,29.42792,..,..,..,..,..,..,..,21.6044,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.852,1.27958,1.45403,1.61567,1.75439,1.62638,2.04809,2.01162,2.06091,1.97044,1.96126,1.74533,1.84502,1.80115,2.18927,2.55688,2.28902,2.59139,..
Angola,AGO,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,5.22377,..,..,..,..,..,..,..,..,0,1.99438,1.93709,1.94601,3.0026,..,..,..,14.11856,..,..,..,..,..
Antigua and Barbuda,ATG,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,18.92842,15.0945,..,34.77175,32.34299,30.87302,..,..,..,..,..,..,..,31.05143,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.19578,..,..,..,..,..,..,49.70179,51.69521,52.79354,51.93709,52.19714,52.59734,..,51.37633,51.57289,..,49.87935,48.76025,..,..
Arab World,ARB,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,7.81853,7.79212,7.55554,7.18898,6.82405,6.31589,6.06335,5.26945,4.94989,4.61405,4.37124,4.20487,4.20696,4.14585,4.7031,4.47248,4.24252,4.44352,4.32954,4.66655,4.96633,4.8767,5.11041,5.21167,5.38188,5.21645,5.54823,5.50269,5.51982,5.62023,5.7895,6.03864,6.09389,6.14899,6.11727,6.32494,6.69279,7.0205,7.2423,7.55131,7.80278,7.81747,8.40666,8.82886,8.96963,9.32824,9.62305,9.79973,9.78265,9.85685,..
Argentina,ARG,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,15.85435,16.15112,16.67988,16.59707,16.90646,17.34262,17.31661,..,..,..,..,18.00061,17.92548,..,18.69303,18.63262,18.77142,18.89616,18.86467,..,..,..,..,..,20.51745,..,20.34074,20.94272,20.6978,19.52953,19.92446,19.75111,19.55569,19.78781,20.22854,21.06955,21.19493,21.84564,22.69051,23.16617,23.6371,23.95075,24.73651,25.32307,25.77523,26.16019,26.37001,26.65361,..,..,..
Armenia,ARM,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0.05977,0.23912,0,0,0.64727,0.54442,0.88368,1.24651,1.69627,1.55473,1.52986,1.76114,..,1.54993,1.59024,1.83379,1.85662,2.02838,2.17065,2.21055,2.30877,2.45322,..
Aruba,ABW,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.93755,82.44629,80.89233,80.68089,80.23644,79.58763,79.24878,78.7873,77.84651,77.15741,75.01006,74.0211,75.84504,74.4712,73.00826,73.42095,..,..,..,..,..,..
