Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.13034,1.82366,..,1.6171,2.26257,2.85623,3.15918,3.72001,..,..
Albania,ALB,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.63212,..,1.88192,2.54333,3.24589,4.72422,5.40825,5.91674,6.87602,7.54838,8.14881,8.80628,8.74254,9.28904,10.41713,11.2158,11.94113,..,..,..,11.6065,12.4222,..
Algeria,DZA,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0.23371,0.2478,0.25024,0.09407,0.3142,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.83851,7.04787,6.22568,5.99369,5.6137,5.07177,3.27409,2.28471,2.1294,..,3.04569,2.58621,2.87267,2.91333,2.71003,2.60521,2.42147,2.45003,..
Angola,AGO,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,10.66559,10.12886,10.63457,10.53438,..,..,..,..,27.51675,..,..,..,..
Antigua and Barbuda,ATG,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.65996,..,..,..,..,..,..,..,..,..,19.86598,20.97981,18.40054,..,20.53537,21.26105,..,20.3352,19.96001,..,..
Arab World,ARB,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.86158,29.6292,29.81644,29.85317,29.83542,29.51088,30.32381,30.76637,31.32683,31.6797,32.03804,31.07782,30.19833,29.06967,29.57539,29.62152,29.42601,29.7546,30.01719,30.1687,..,..,..
Armenia,ARM,Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.61139,..,3.2493,3.0488,3.25301,..,..,3.62027,3.72691,..
