Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,4.98746,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.01784,..,..,..,..,..,..,29.80521,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.25227,..,..,..,..,..,..,94.68181,..,..,95.69148,96.13607,..,..,..,..,..,97.76112,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.83992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.07508,..,..,..,63.91879,..,67.54875,..,..,..,..,..,..,..,..,..,75.32297,..,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,97.21991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.19449,..,..,..,..,..,..,..,..,..,..,..,..,53.40721,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.42,..,..,..,..,..,..,..,..,..,99.42,..,..,..,99.42,..,..,..,..,..
Arab World,ARB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,30.32223,30.78926,31.33377,31.94252,32.59526,33.40364,33.85635,34.84444,35.72112,36.68004,37.53049,38.59246,39.6297,40.73368,41.93895,43.12672,43.41931,44.56913,45.68163,47.51375,48.45022,49.87384,51.21185,52.73536,53.82067,55.24859,57.60603,58.91684,58.81217,58.69217,59.10822,60.44632,58.96982,60.23765,62.43845,66.09428,65.23873,67.73675,65.56704,67.35149,68.65436,65.53032,65.85761,..
Argentina,ARG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,93.58089,..,..,..,..,..,..,..,..,..,..,95.917,..,..,..,..,..,..,..,..,..,97.19341,..,..,..,..,98.51077,..,..,99.00176,98.92807,98.99984,99.09995,99.09121,98.93282,99.20877,99.1431,..,99.06204,..,..
Armenia,ARM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.15014,..,..,..,..,..,..,..,..,..,..,..,99.16107,..,..,..,..,..,..,..,..,..,99.69035,..,..,..,..,..,99.67716,..,..,..
Aruba,ABW,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.07136,..,..,..,..,..,..,..,..,..,96.71978,..,..,..,..,..,..,..,97.81268,..,..
Australia,AUS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.17478,..,..,..,..,..,..,..,99.38394,..,99.68215,99.69263,99.70496,99.70286,99.71682,99.71966,99.71714,99.71955,99.72199,..,..,..
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,58.59109,..,..,..,..,..,..,..,..,..,76.93232,..,..,..,..,..,..,..,..,..,83.55742,..,..,..,..,..,..,..,..,89.01044,..,..,..,..,..,94.28152,94.70737,94.94888,..,..
Bangladesh,BGD,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,17.97163,..,..,..,..,..,..,..,..,..,25.83898,..,..,..,..,..,..,..,..,..,40.82335,..,..,..,..,..,43.74085,..,..,..,55.11944,54.23604,57.789,57.86093,62.25299,69.89721,70.0857,71.18194,71.94839,..
Barbados,BRB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,99.25156,..,..,..,..,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..
Belarus,BLR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.62822,..,..,..,..,..,..,..,..,..,99.41972,..,..,..,..,..,..,..,..,..,99.49399,..,..,..,..,..,..,..,..,99.72518,..,..
