Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24220,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80813,81734,82880,82290,..,81285,79906,..,..,..,76278,75445,74914,76389,80488,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50095,56606,71265,166205,170523,206159,..,500165,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2440,2640,2614,2655,2614,2558,2507,2408,2411,2380,2435,2423,2453,2427,2340,2263,2204,2123,..
Angola,AGO,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,784381,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2845,..,..,..,..,..,..,3620,3686,..,3842,3406,3466,..,3466,..,..,3314,3314,..,..
Arab World,ARB,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1215646,1289149,1300258,1306025,1307176,1350986,1389572,1401616,1452326,1513537,1554897,1581370,1589458,1636479,1677440,1711266,1755943,1787365,1819221,..,..,..
Armenia,ARM,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45390,46855,45971,48674,48015,50491,53718,53877,58316,63542,59591,61086,64959,65025,65421,49214,50747,..
Aruba,ABW,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2712,2809,2867,2895,2906,2836,2821,2985,2914,2740,2707,2809,2782,2874,2822,2811,..,..,..,..,..,..
Australia,AUS,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,272996,263541,211627,214059,221672,212998,212402,215526,219741,218387,273564,..,804802,864372,898123,910385,918713,931545,..,..
Austria,AUT,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,274059.5,281712,289858,301390.5,308125.83333,314328.5,..,..
