Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13837,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40784,..,40775,..,41223,41160,..,..,..,39812,39726,39574,40368,42335,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25715,29436,37157,88190,85861,108507,..,260629,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1261,1349,1331,1364,1375,1315,1297,1268,1287,1267,1262,1216,1213,1218,1192,1141,1097,1075,..
Angola,AGO,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,416069,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1856,1890,..,1978,1676,1789,..,1787,..,..,1628,1628,..,..
Arab World,ARB,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,610814,650131,656282,659562,661943,683833,701807,708880,733411,763438,785634,800119,804021,827009,848644,865695,889004,904640,921464,..,..,..
Armenia,ARM,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22633,23262,23094,24064,23576,..,27014,27113,29452,32153,29988,31444,33382,33004,33251,25160,26415,..
Aruba,ABW,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1381,1460,1461,1495,1485,1408,1435,1525,1464,1387,1396,1457,1399,1476,1456,1449,..,..,..,..,..,..
Australia,AUS,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140107,135081,108467,109722,113624,110558,110021,111833,113666,113015,..,..,418372,449385,468089.92889,475568,479639,486627,..,..
Austria,AUT,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140955.5,145168.5,146991.5,155528.5,159534.33333,162584,..,..
Azerbaijan,AZE,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48804,48942,49138,50126,50209,49954,49088,58018,58300,55207,55416,58648,61140,61149,65989,63982,69381,69453,..,117856,114533,..
"Bahamas, The",BHS,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,701,938,..,1935,..,..,..,..,..,..,..,..,2240,2475,1775,2258,1673,1803,1778,1781,..,..
Bahrain,BHR,"Enrolment in early childhood education, male (number)",UIS.E.0.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8050,8383,..,9012,9763,10105,10476,..,11741,13102,14006,14453,15323,16348,17914,18068,18841,19272,19807,19953,..
