Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,3384319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6370887,..,..,..,..,..,..,7205193,..,..
Albania,ALB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19165,..,..,..,..,..,..,61308,..,..,49703,44688,..,..,..,..,..,26296,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4203742,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4282775,..,..,..,4307461,..,4053705,..,..,..,..,..,..,..,..,..,3618525,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2063119,..,..,..,..,..,..,..,..,..,..,..,..,3381851,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,174,..,..,..,..,..,..,..,..,..,208,..,..,..,221,..,..,..,..,..
Arab World,ARB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,28889163,29628905,30371229,31113109,31820434,32479349,33331737,33922172,34565863,35077441,35653049,36108243,36579817,37019094,37406666,37809028,38825487,39267728,39725670,39612499,40139443,40253483,40388993,40320396,40551060,40441212,39419392,39300700,40530053,41819498,42578507,42339519,45122029,44890521,43514667,40273539,42296721,40180325,43857775,42413269,41536415,46595993,47090211,..
Argentina,ARG,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,641097,..,..,..,..,..,..,..,..,..,..,488318,..,..,..,..,..,..,..,..,..,393127,..,..,..,..,222893,..,..,155420,169024,159726,145515,148695,176696,132572,145215,..,162623,..,..
Armenia,ARM,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23966,..,..,..,..,..,..,..,..,..,..,..,10523,..,..,..,..,..,..,..,..,..,3933,..,..,..,..,..,4126,..,..,..
Aruba,ABW,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1073,..,..,..,..,..,..,..,..,..,1404,..,..,..,..,..,..,..,1014,..,..
Australia,AUS,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52472,..,..,..,..,..,..,..,20949,..,11237,11049,10764,10981,10583,10584,10784,10772,10764,..,..,..
"Bahamas, The",BHS,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,38673,..,..,..,..,..,..,..,..,..,31150,..,..,..,..,..,..,..,..,..,32334,..,..,..,..,..,..,..,..,37780,..,..,..,..,..,22709,21680,21369,..,..
Bangladesh,BGD,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,17801159,..,..,..,..,..,..,..,..,..,21916266,..,..,..,..,..,..,..,..,..,23687311,..,..,..,..,..,26125211,..,..,..,22659552,23581193,22186779,22586396,20627228,16767385,16981063,16664525,16512527,..
Barbados,BRB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,618,..,..,..,..,..,..,..,..,..,..,..,..,..,396,..,..,..,..,..,..,..,..,..,430,..,..,..,..,..,..,..,..,..,460,..,..,..,..,..,..,..,..,..,487,..,..,..,..,..,..
Belarus,BLR,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,142818,..,..,..,..,..,..,..,..,..,25157,..,..,..,..,..,..,..,..,..,22083,..,..,..,..,..,..,..,..,11751,..,..
Belgium,BEL,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15992,..,..,..,..,..,..,..,..,16681,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,966719,..,..,..,..,..,..,..,..,..,..,..,..,1267655,..,..,..,..,..,..,..,..,..,1589741,..,..,..,1911896,..,..,..,..,..,2181215,..,..,..,..,..,2310251,..,..
Bermuda,BMU,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120396,..,..,..,..,..,..,126286,..,..,..,..,109357,..,..,..
Bolivia,BOL,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,739194,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,601196,..,..,..,..,..,..,..,..,519671,..,..,..,..,..,431394,414734,424632,..,401896,280195,..,..,420504,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,307858,..,..,..,..,..,..,..,..,86429,..,..,..,..,..,..,..,..,..,..,50641,..,78358,..,..,..,..,..,..,..
Botswana,BWA,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114355,..,..,..,..,..,..,..,..,..,..,..,104115,..,..,..,..,..,..,..,..,..,88808,..,..,..,..,..,..,..
Brazil,BRA,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,10239537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8438148,..,..,..,7595196,..,7145239,7005050,7130786,7108256,7022469,6408326,6516464,6506640,6367505,6229749,5754842,5644716,5562972,..,..
British Virgin Islands,VGB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,17372,..,..,..,..,..,..,..,..,..,14270,..,..,..,..,..,..,..,..,..,11600,..,..,..,..,..,..,..,..,..,7565,..,..,..,..,..,..,5850,..,..
Bulgaria,BGR,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79848,..,..,..,..,..,..,..,..,..,66453,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,1714117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2310094,..,..,..,..,2650709,..,..,..,..,..,..,2982325,..,3110808,3211686,3118626,..,..,..,..,..,..,3602159,..,..,..,3725570,..,..
Burundi,BDI,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,1033695,..,..,..,..,..,..,..,..,..,..,1067480,..,..,..,..,..,..,..,..,..,787213,..,..,..,..,..,..,..,1286588,..,..,..,..,..,1245973,..,..,1167781,..,..,..
Cabo Verde,CPV,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47253,..,..,..,..,..,..,..,..,..,40058,..,..,..,..,..,..,..,..,..,..,..,33994,..,..,33013,..,..,..,..,..
Cambodia,KHM,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1472087,..,..,..,..,..,1543515,..,..,..,1452047,1511043,..,..,..,..,1535033,1383856,..,..,..,..,..
Cameroon,CMR,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,1558288,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1783374,..,..,..,..,..,..,1959511,..,..,2034037,..,..,..,..,..,..,..,2068634,..,..
Canada,CAN,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,240799,242631,240000,237820,235604,230765,238297,224999,221716,218506,215321,211993,208302,206980,192807,189109,186228,182894,181040,186266,194577,193079,192314,..,..,..,..,..
Cayman Islands,CYM,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,212,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,534652,..,..,..,..,..,..,..,..,..,..,..,..,625745,..,..,..,..,..,..,..,..,..,..,..,686920,..,..,..,..,..,..,..,..,..,948261,..,..,..,..,..,..,..,984428,..,..
Central Europe and the Baltics,CEB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,1254084,1247305,1241661,1228068,1216558,1208809,1193172,1253160,1221243,1187382,1156771,1127620,1103700,1075786,1047067,1022044,995221,935999,967326,947974,929472,907542,895764,878582,860589,851611,835035,807695,678697,663607,648778,637645,628147,616784,605684,594112,..,..,..,..
Chad,TCD,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1656219,..,..,..,..,..,..,1889214,..,..,..,2051829,..,..,..,..,..,..,..,..,..,..,3190111,3303427,..,..,..,..
Channel Islands,CHI,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,375432,..,..,..,..,..,..,..,..,..,296435,..,..,..,..,..,..,..,..,..,259016,..,..,..,..,..,148948,174359,228399,239881,..,272702,..,238026,..,277038,..,..,..
China,CHN,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,162258809,..,..,..,..,..,..,..,130979276,..,..,..,..,..,..,..,..,..,64143900,..,..,..,..,..,..,..,..,..,39841492,..,..,..,..,..,..,..,27897140,..,..
Colombia,COL,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1041733,..,..,1099039,..,..,..,..,..,..,..,1100356,1093019,1223752,1148794,1075997,1100828,1109208,1097989,..,..,1003954,1034886,965396,..,921657,..,..
Comoros,COM,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,51218,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55633,..,..,..,..,..,..,..,..,..,..,..,122871,..,..,..,..,..,118036,..,..
"Congo, Dem. Rep.",COD,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6160900,..,..,..,..,..,8634909,..,..,..,..,6955813,..,..,..,7163256,..,..,..,..
"Congo, Rep.",COG,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,285739,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,349263,..,..,..,..,..,350907,..,..,..,..,..,..,390894,..,..
Costa Rica,CRI,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63460,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67382,..,..,..,..,..,..,..,..,..,..,44322,..,..,..,..,..,..,41087,..,..
Cote d'Ivoire,CIV,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2139785,..,..,..,..,..,..,..,..,..,2945645,..,2696335,..,..,..,..,..,..,..,..,..,..,..,4157318,..,4016238,..,..,..,4273045,..,..
Croatia,HRV,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103673,..,..,..,..,..,..,..,..,..,55944,..,..,..,..,..,..,..,..,..,25519,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9371,..,..,..,..,..,..,..,..,..,9435,..,..,..,..,..,..,..,..
Curacao,CUW,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26796,..,..,..,..,..,..,..,..,18371,..,..,..,..,..,..,..,..,..,8803,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6071,..,..,..,..
Denmark,DNK,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
