Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,2547502,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4406756,..,..,..,..,..,..,4848681,..,..
Albania,ALB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8974,..,..,..,..,..,..,30488,..,..,22830,19064,..,..,..,..,..,17818,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2409056,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2272701,..,..,..,2266372,..,2198244,..,..,..,..,..,..,..,..,..,1865624,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,242,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,759381,..,..,..,..,..,..,..,..,..,..,..,..,1396423,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,407,..,..,..,..,..,..,..,..,..,511,..,..,..,549,..,..,..,..,..
Arab World,ARB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,17159444,17690125,18221168,18700510,19129443,19521177,20207618,20501723,20756489,20976554,21359615,21515262,21743103,21922079,21980825,22238656,22174637,22524613,22592357,22493128,22601532,22463747,22475504,22743401,22375802,22298054,20151889,20267323,21882065,24734599,24933744,25159450,27312839,27461521,26465985,23054087,23751987,22825143,26517268,25757560,25630969,30035420,30427633,..
Argentina,ARG,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,540625,..,..,..,..,..,..,..,..,..,..,419739,..,..,..,..,..,..,..,..,..,358074,..,..,..,..,174232,..,..,148154,146925,113289,132235,127185,143291,131683,140072,..,170377,..,..
Armenia,ARM,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7020,..,..,..,..,..,..,..,..,..,..,..,3407,..,..,..,..,..,..,..,..,..,2030,..,..,..,..,..,2070,..,..,..
Aruba,ABW,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,817,..,..,..,..,..,..,..,..,..,1152,..,..,..,..,..,..,..,894,..,..
Australia,AUS,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13787,..,..,..,..,..,..,..,5686,..,5213,4913,4917,5121,4726,4922,4958,4952,5015,..,..,..
"Bahamas, The",BHS,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,35921,..,..,..,..,..,..,..,..,..,23999,..,..,..,..,..,..,..,..,..,34125,..,..,..,..,..,..,..,..,50665,..,..,..,..,..,10686,9714,10441,..,..
Bangladesh,BGD,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,14201273,..,..,..,..,..,..,..,..,..,17818121,..,..,..,..,..,..,..,..,..,19647575,..,..,..,..,..,24341066,..,..,..,19465061,20326369,19269551,19546514,17844747,13861524,14055980,13727568,13492100,..
Barbados,BRB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,483,..,..,..,..,..,..,..,..,..,..,..,..,..,346,..,..,..,..,..,..,..,..,..,387,..,..,..,..,..,..,..,..,..,413,..,..,..,..,..,..,..,..,..,440,..,..,..,..,..,..
Belarus,BLR,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21911,..,..,..,..,..,..,..,..,..,7652,..,..,..,..,..,..,..,..,..,8665,..,..,..,..,..,..,..,..,7381,..,..
Belgium,BEL,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16210,..,..,..,..,..,..,..,..,17170,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,701437,..,..,..,..,..,..,..,..,..,..,..,..,825401,..,..,..,..,..,..,..,..,..,1012984,..,..,..,1322299,..,..,..,..,..,1479005,..,..,..,..,..,1499538,..,..
Bermuda,BMU,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78577,..,..,..,..,..,..,89706,..,..,..,..,73758,..,..,..
Bolivia,BOL,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,360316,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,256110,..,..,..,..,..,..,..,..,185758,..,..,..,..,..,121739,158505,134876,..,114248,99390,..,..,127417,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60186,..,..,..,..,..,..,..,..,13932,..,..,..,..,..,..,..,..,..,..,6884,..,12015,..,..,..,..,..,..,..
Botswana,BWA,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117137,..,..,..,..,..,..,..,..,..,..,..,100868,..,..,..,..,..,..,..,..,..,88103,..,..,..,..,..,..,..
Brazil,BRA,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,8712211,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8257191,..,..,..,7519008,..,7159748,6995332,7064373,6940318,7136569,6437573,6641948,6626352,6578191,6393055,5809447,5631321,5604800,..,..
British Virgin Islands,VGB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,9930,..,..,..,..,..,..,..,..,..,7037,..,..,..,..,..,..,..,..,..,5806,..,..,..,..,..,..,..,..,..,3908,..,..,..,..,..,..,3348,..,..
Bulgaria,BGR,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41008,..,..,..,..,..,..,..,..,..,38515,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,1417283,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1807374,..,..,..,..,2118977,..,..,..,..,..,..,2281590,..,2367782,2502298,2332420,..,..,..,..,..,..,2589179,..,..,..,2665425,..,..
Burundi,BDI,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,698233,..,..,..,..,..,..,..,..,..,..,703998,..,..,..,..,..,..,..,..,..,502379,..,..,..,..,..,..,..,1008167,..,..,..,..,..,797949,..,..,683416,..,..,..
Cabo Verde,CPV,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20604,..,..,..,..,..,..,..,..,..,18284,..,..,..,..,..,..,..,..,..,..,..,16588,..,..,15271,..,..,..,..,..
Cambodia,KHM,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,621785,..,..,..,..,..,587002,..,..,..,645710,710511,..,..,..,..,755581,683262,..,..,..,..,..
