Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.92081,..,..
Algeria,DZA,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.72814,94.63773,95.67702,97.12654,97.91976,98.3456,98.52628,99.26722,98.85815,..,..,..,..,..,..,100,100,..,..,..,..,..
American Samoa,ASM,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Angola,AGO,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.48642,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.90647,..,..,..,..,..,..,67.28625,52.88889,57.1223,54.75234,64.83957,60.13245,..,70.16807,65.29161,..,55.15152,52.81863,..,..
Arab World,ARB,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.69831,94.09416,92.52701,92.11094,93.20337,93.19784,90.56873,85.70711,84.56568,86.9145,86.72273,86.10347,86.54155,86.8176,84.99745,..
Argentina,ARG,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.32563,..,..,..,..,66.65664,77.45596,..,..,..,..,..,..,..,..,..,..,..,..,..,73.62439,..
Aruba,ABW,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,99.47552,100,99.48187,99.82818,100,99.83444,99.50083,..,..,..,..,..,..,..,..
Australia,AUS,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.97555,99.93328,99.94324,100,99.62546,99.81896,99.97633,99.98141,99.99773,99.94087,99.91635,99.97936,99.98844,99.99272,99.56842,99.35141,99.27994,..,98.03782,99.52143,99.83149,..
"Bahamas, The",BHS,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.43724,..,..,95.12075,..,91.53488,..,88.82227,94.46281,91.08444,84.42042,91.54871,94.28858,94.43084,87.40987,81.46873,89.6463,90.06828,89.6463,89.78247,..,..
Bahrain,BHR,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.33598,82.06234,82.19422,82.76754,82.48183,83.69343,83.74411,100,100,..
Bangladesh,BGD,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.4022,51.43224,55.999,54.36333,58.40753,..,57.73415,..,..,..,47.579,50.43132,50.43127,..,..,..
Barbados,BRB,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.24711,..,70.37991,60.95406,58.05849,58.49598,55.40698,..,..,68.76877,65.83333,69.02769,79.80636,76.47059,75.1073,..
