Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.69124,..,..,..,..,..
Antigua and Barbuda,ATG,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.98347,..,..,..,..,..,..,66.73511,..,45.30201,48.30769,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.66642,81.95708,82.78183,84.78072,84.9591,..
Argentina,ARG,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.39498,..
Aruba,ABW,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.89347,70.59747,..
"Bahamas, The",BHS,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.57194,..,..,91.46067,90.68994,86.69725,88.37025,88.34244,89.00293,90.50032,78.75197,81.8251,81.98473,86.26506,86.11963,86.26506,85.13011,..,..
Bahrain,BHR,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.87966,82.82514,83.47519,83.71761,83.65249,85.19898,85.16737,100,100,..
Bangladesh,BGD,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.84191,20.55098,22.40781,20.8274,21.30687,25.25426,25.62946,..,..,32.95514,42.00107,41.71851,40.6939,46.80847,52.08434,56.1869,..,..,58.54383,..,..,66.28181,..
Barbados,BRB,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.38908,55.02742,47.26277,48.89706,51.91956,..
Belarus,BLR,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.00259,91.1499,91.46547,91.40575,91.60088,91.54911,..,..
Belgium,BEL,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Proportion of teachers with the minimum required qualifications in upper secondary education, both sexes (%)",UIS.TRTP.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.71698,40.88889,..,40.9396,43.07692,..,34.14141,32.68859,30.33268,29.70874,34.44227,..,30.94017,28.49916,..,39.61039,44.05705,..,58.30721,34.9454,..
