Unnamed: 0,Region,Country,Year,Gender,Completion Rate for Primary Edu,Childhood Education GER,"Gross enrolment ratio, early childhood educational development programmes,","Gross intake ratio to the last grade of primary education,",Literacy rate for 25-64 years old,Expenditure on education as a percentage of total government expenditure (%),Government expenditure on education as a percentage of GDP (%)
98,SDG: Central and Southern Asia,Kazakhstan,2012,female,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,108.19,73.7825,19.25,3.9
99,SDG: Central and Southern Asia,Kazakhstan,2012,male,99.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,106.88,73.7825,19.25,3.9
100,SDG: Central and Southern Asia,Kazakhstan,2013,female,99.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,109.76,73.7825,17.96,3.44
101,SDG: Central and Southern Asia,Kazakhstan,2013,male,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,108.9,73.7825,17.96,3.44
102,SDG: Central and Southern Asia,Kazakhstan,2014,female,99.9,36.65,0.0,115.17,73.7825,17.32,3.42
103,SDG: Central and Southern Asia,Kazakhstan,2014,male,99.8,36.74,0.0,115.14,73.7825,17.32,3.42
104,SDG: Central and Southern Asia,Kazakhstan,2015,female,99.94,45.62,12.59,114.38,73.7825,16.82,2.79
105,SDG: Central and Southern Asia,Kazakhstan,2015,male,99.81,41.44,12.23,114.17,73.7825,16.82,2.79
106,SDG: Central and Southern Asia,Kazakhstan,2016,female,99.9,43.44,12.73,110.0,73.7825,19.6,2.98
107,SDG: Central and Southern Asia,Kazakhstan,2016,male,99.8,43.05,12.52,110.58,73.7825,19.6,2.98
108,SDG: Central and Southern Asia,Kazakhstan,2017,female,99.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2344    69.80
2345    71.54
2346    71.88
2347    72.63
2348    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1698, dtype: float64>",6.361500711237554,110.26,73.7825,14.34,2.75
