Unnamed: 0,Region,Country,Year,Gender,Completion Rate for lower secondary Edu,Childhood Education GER,"Gross enrolment ratio, early childhood educational development programmes","Gross intake ratio to the last grade of lower secondary general education,",Literacy rate for 25-64 years old,Expenditure on education as a percentage of total government expenditure (%),Government expenditure on education as a percentage of GDP (%)
0,SDG: Central Asia,Kazakhstan,2012,female,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,96.64,68.735,19.25,3.9
1,SDG: Central Asia,Kazakhstan,2012,male,99.3,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,97.66,68.735,19.25,3.9
2,SDG: Central Asia,Kazakhstan,2013,female,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,103.13,68.735,17.96,3.44
3,SDG: Central Asia,Kazakhstan,2013,male,99.4,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,102.95,68.735,17.96,3.44
4,SDG: Central Asia,Kazakhstan,2014,female,99.6,36.65,0.0,105.74,68.735,17.32,3.42
5,SDG: Central Asia,Kazakhstan,2014,male,99.4,36.74,0.0,105.79,68.735,17.32,3.42
6,SDG: Central Asia,Kazakhstan,2015,female,99.66,45.62,12.59,110.51,68.735,16.82,2.79
7,SDG: Central Asia,Kazakhstan,2015,male,99.83,41.44,12.23,107.84,68.735,16.82,2.79
8,SDG: Central Asia,Kazakhstan,2016,female,99.7,43.44,12.73,116.89,68.735,19.6,2.98
9,SDG: Central Asia,Kazakhstan,2016,male,99.5,43.05,12.52,116.49,68.735,19.6,2.98
10,SDG: Central Asia,Kazakhstan,2017,female,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,111.97,68.735,14.34,2.75
11,SDG: Central Asia,Kazakhstan,2017,male,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,109.8,68.735,14.34,2.75
12,SDG: Central Asia,Kazakhstan,2018,female,99.8,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,114.13,68.735,17.9,2.62
13,SDG: Central Asia,Kazakhstan,2018,male,99.6,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",5.868055555555555,113.12,68.735,17.9,2.62
14,SDG: Central Asia,Kazakhstan,2019,female,99.8,47.67,16.87,118.06,68.735,18.96,2.86
15,SDG: Central Asia,Kazakhstan,2019,male,99.7,46.64,16.33,117.77,68.735,18.96,2.86
16,SDG: Central Asia,Kazakhstan,2020,female,99.9,55.76,28.22,103.86,99.8,20.16,4.45
17,SDG: Central Asia,Kazakhstan,2020,male,99.7,56.28,27.99,104.18,99.9,20.16,4.45
38,SDG: Central Asia,Tajikistan,2012,female,84.35,8.92,0.0,82.19,68.735,16.37,4.02
39,SDG: Central Asia,Tajikistan,2012,male,93.43,9.91,0.0,90.49,68.735,16.37,4.02
40,SDG: Central Asia,Tajikistan,2013,female,88.8,8.8,0.0,72.63083822296731,68.735,14.96826379542396,4.1106463878327
41,SDG: Central Asia,Tajikistan,2013,male,95.3,10.72,0.0,72.63083822296731,68.735,14.96826379542396,4.1106463878327
42,SDG: Central Asia,Tajikistan,2014,female,90.4,9.31,0.0,90.14,68.735,14.96826379542396,4.1106463878327
43,SDG: Central Asia,Tajikistan,2014,male,96.0,10.62,0.0,96.12,68.735,14.96826379542396,4.1106463878327
44,SDG: Central Asia,Tajikistan,2015,female,91.8,9.58,0.0,95.35,68.735,16.39,4.97
45,SDG: Central Asia,Tajikistan,2015,male,96.5,10.78,0.0,100.02,68.735,16.39,4.97
46,SDG: Central Asia,Tajikistan,2016,female,93.1,9.61,0.0,97.3,68.735,17.04,5.73
47,SDG: Central Asia,Tajikistan,2016,male,97.0,11.31,0.0,101.85,68.735,17.04,5.73
48,SDG: Central Asia,Tajikistan,2017,female,93.84,9.18,0.0,94.18,68.735,18.14,5.54
49,SDG: Central Asia,Tajikistan,2017,male,97.11,10.61,0.0,98.08,68.735,18.14,5.54
50,SDG: Central Asia,Tajikistan,2018,female,95.0,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.1,5.44
51,SDG: Central Asia,Tajikistan,2018,male,97.9,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.1,5.44
52,SDG: Central Asia,Tajikistan,2019,female,95.7,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.23,5.59
53,SDG: Central Asia,Tajikistan,2019,male,98.2,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0         NaN
1         NaN
2         NaN
3         NaN
4       36.65
        ...  
2601    69.80
2602    71.54
2603    71.88
2604    72.63
2605    72.42
Name: Gross enrolment ratio, early childhood education,, Length: 1872, dtype: float64>",0.0,72.63083822296731,68.735,18.23,5.59
