Year,Completion Rate for upper secondary Edu,Childhood Education GER,"Gross enrolment ratio, early childhood educational development programmes",Literacy rate for 25-64 years old,Expenditure on education as a percentage of total government expenditure (%),Government expenditure on education as a percentage of GDP (%),Central Asia,Central and Southern Asia,Eastern and South-Eastern Asia,Europe and Northern America,Latin America and the Caribbean,Northern Africa and Western Asia,Oceania,Southern Asia,Sub-Saharan Africa,Gender_numerical
2012,96.9,47.34855833333333,5.87166237113402,68.735,19.25,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2012,96.2,47.34855833333333,5.87166237113402,68.735,19.25,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013,97.0,47.34855833333333,5.87166237113402,68.735,17.96,3.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2013,96.4,47.34855833333333,5.87166237113402,68.735,17.96,3.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014,97.2,36.65,0.0,68.735,17.32,3.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014,96.5,36.74,0.0,68.735,17.32,3.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2015,94.85,45.62,12.59,68.735,16.82,2.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,92.87,41.44,12.23,68.735,16.82,2.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016,97.5,43.44,12.73,68.735,19.6,2.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2016,97.0,43.05,12.52,68.735,19.6,2.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017,97.7,47.34855833333333,5.87166237113402,68.735,14.34,2.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,97.2,47.34855833333333,5.87166237113402,68.735,14.34,2.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,97.9,47.34855833333333,5.87166237113402,68.735,17.9,2.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018,97.5,47.34855833333333,5.87166237113402,68.735,17.9,2.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
